ACTO;CONVOCATORIA;SERIE;ZONA;ESCRUTINIO;HOJA;CNT_VOTOS
30/6/2024;Partido_Nacional;BGB;Aguada;Primario;4.0;2.0
30/6/2024;Partido_Nacional;BHA;Aguada;Primario;4.0;0.0
30/6/2024;Partido_Nacional;BHB;Aguada;Primario;4.0;0.0
30/6/2024;Partido_Nacional;BIA;Aguada;Primario;4.0;2.0
30/6/2024;Partido_Nacional;BIB;Reducto;Primario;4.0;1.0
30/6/2024;Partido_Nacional;BJA;Villa Muñoz, Retiro;Primario;4.0;9.0
30/6/2024;Partido_Nacional;BJB;Villa Muñoz, Retiro;Primario;4.0;20.0
30/6/2024;Partido_Nacional;BKA;Villa Muñoz, Retiro;Primario;4.0;7.0
30/6/2024;Partido_Nacional;BKB;Villa Muñoz, Retiro;Primario;4.0;1.0
30/6/2024;Partido_Nacional;BLA;Jacinto Vera;Primario;4.0;53.0
30/6/2024;Partido_Nacional;BLB;Larrañaga;Primario;4.0;45.0
30/6/2024;Partido_Nacional;BMA;Atahualpa;Primario;4.0;20.0
30/6/2024;Partido_Nacional;BMB;La Figurita;Primario;4.0;22.0
30/6/2024;Partido_Nacional;BNA;Brazo Oriental;Primario;4.0;24.0
30/6/2024;Partido_Nacional;BNB;Cerrito;Primario;4.0;21.0
30/6/2024;Partido_Nacional;BNC;Cerrito;Primario;4.0;6.0
30/6/2024;Partido_Nacional;BOA;Casavalle;Primario;4.0;47.0
30/6/2024;Partido_Nacional;BOB;Manga;Primario;4.0;24.0
30/6/2024;Partido_Nacional;BPA;Capurro, Bella Vista;Primario;4.0;13.0
30/6/2024;Partido_Nacional;BPB;Capurro, Bella Vista;Primario;4.0;11.0
30/6/2024;Partido_Nacional;BQA;Prado, Nueva Savona;Primario;4.0;18.0
30/6/2024;Partido_Nacional;BQB;Reducto;Primario;4.0;8.0
30/6/2024;Partido_Nacional;BRA;Lezica, Melilla;Primario;4.0;49.0
30/6/2024;Partido_Nacional;BRB;Colón Sureste, Abayubá;Primario;4.0;17.0
30/6/2024;Partido_Nacional;BRC;Manga, Toledo Chico;Primario;4.0;0.0
30/6/2024;Partido_Nacional;BSA;Cerro;Primario;4.0;4.0
30/6/2024;Partido_Nacional;BSB;Cerro;Primario;4.0;5.0
30/6/2024;Partido_Nacional;BTA;Cerro;Primario;4.0;25.0
30/6/2024;Partido_Nacional;BTB;Casabó, Pajas Blancas;Primario;4.0;33.0
30/6/2024;Partido_Nacional;BTC;Casabó, Pajas Blancas;Primario;4.0;1.0
30/6/2024;Partido_Nacional;BTD;Casabó, Pajas Blancas;Primario;4.0;0.0
30/6/2024;Partido_Nacional;BUA;La Teja;Primario;4.0;8.0
30/6/2024;Partido_Nacional;BUB;La Teja;Primario;4.0;5.0
30/6/2024;Partido_Nacional;BVA;Belvedere;Primario;4.0;20.0
30/6/2024;Partido_Nacional;BVB;Belvedere;Primario;4.0;18.0
30/6/2024;Partido_Nacional;BVC;Nuevo París;Primario;4.0;8.0
30/6/2024;Partido_Nacional;BXA;Playa la Colorada ( Pajas Blancas al nor;Primario;4.0;7.0
30/6/2024;Partido_Nacional;BXB;Santiago Vázquez- Los Boulevares - Paso;Primario;4.0;16.0
30/6/2024;Partido_Nacional;BXC;Paso de la Arena;Primario;4.0;4.0
30/6/2024;Partido_Nacional;BZA;Sayago;Primario;4.0;60.0
30/6/2024;Partido_Nacional;BZB;Peñarol, Lavalleja;Primario;4.0;31.0
30/6/2024;Partido_Nacional;BZC;Peñarol, Lavalleja;Primario;4.0;39.0
30/6/2024;Partido_Nacional;AAA;Ciudad Vieja;Primario;11.0;16.0
30/6/2024;Partido_Nacional;AAB;Ciudad Vieja;Primario;11.0;2.0
30/6/2024;Partido_Nacional;ABA;Ciudad Vieja (norte);Primario;11.0;1.0
30/6/2024;Partido_Nacional;ACA;Rambla (zona Sur);Primario;11.0;17.0
30/6/2024;Partido_Nacional;ACB;Ciudad Vieja;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ADA;Rambla (zona sur);Primario;11.0;1.0
30/6/2024;Partido_Nacional;AEA;Plaza Independencia (norte, ady.);Primario;11.0;0.0
30/6/2024;Partido_Nacional;AEB;Plaza Independencia (norte, rambla portu;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AFA;Centro;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AGA;Barrio Sur;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AGB;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AHA;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AHB;Barrio Sur;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AIA;Centro;Primario;11.0;5.0
30/6/2024;Partido_Nacional;AIB;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AJA;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AJB;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AKA;Barrio Sur;Primario;11.0;8.0
30/6/2024;Partido_Nacional;AKB;Barrio Sur;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ALA;Centro;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ALB;Centro;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AMA;Cordón;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AMB;Cordón;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ANA;Cordón;Primario;11.0;0.0
30/6/2024;Partido_Nacional;ANB;Cordón;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AOA;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AOB;Centro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;APA;Palermo;Primario;11.0;1.0
30/6/2024;Partido_Nacional;APB;Palermo;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AQA;Parque Rodó;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AQB;Parque Rodó;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ARA;Cordón;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ARB;Cordón;Primario;11.0;1.0
30/6/2024;Partido_Nacional;ASA;Cordón;Primario;11.0;2.0
30/6/2024;Partido_Nacional;ASB;Cordón;Primario;11.0;0.0
30/6/2024;Partido_Nacional;ATA;Cordón;Primario;11.0;0.0
30/6/2024;Partido_Nacional;ATB;Tres Cruces;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AUA;La Blanqueada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AUB;La Blanqueada;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AVA;Cordón;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AVB;Parque Rodó;Primario;11.0;1.0
30/6/2024;Partido_Nacional;AXA;Pocitos;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AXB;Punta Carretas;Primario;11.0;2.0
30/6/2024;Partido_Nacional;AZA;Parque Batlle, Villa Dolores;Primario;11.0;2.0
30/6/2024;Partido_Nacional;AZB;Pocitos;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BAA;Pocitos;Primario;11.0;2.0
30/6/2024;Partido_Nacional;BAB;Parque Batlle, Villa Dolores;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BBA;Castro, P. Castellanos;Primario;11.0;2.0
30/6/2024;Partido_Nacional;BBB;Castro, P. Castellanos;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BBC;Castro, P. Castellanos;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BBD;Castro, P. Castellanos;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BCA;Buceo;Primario;11.0;5.0
30/6/2024;Partido_Nacional;BCB;Unión;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BCC;Malvín;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BCD;Carrasco Norte;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BCE;Unión;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BCF;Carrasco;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BCG;Malvín Norte;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BDA;Ituzaingó;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BDB;Flor de Maroñas;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BDC;Villa García, Manga Rural;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BDD;Manga, Toledo Chico;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BDE;Bella Italia;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BDF;Piedras Blancas;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BEA;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BEB;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BFA;Aguada;Primario;11.0;3.0
30/6/2024;Partido_Nacional;BFB;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BGA;Aguada;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BGB;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BHA;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BHB;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BIA;Aguada;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BIB;Reducto;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BJA;Villa Muñoz, Retiro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BJB;Villa Muñoz, Retiro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BKA;Villa Muñoz, Retiro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BKB;Villa Muñoz, Retiro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BLA;Jacinto Vera;Primario;11.0;5.0
30/6/2024;Partido_Nacional;BLB;Larrañaga;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BMA;Atahualpa;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BMB;La Figurita;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BNA;Brazo Oriental;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BNB;Cerrito;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BNC;Cerrito;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BOA;Casavalle;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BOB;Manga;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BPA;Capurro, Bella Vista;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BPB;Capurro, Bella Vista;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BQA;Prado, Nueva Savona;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BQB;Reducto;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BRA;Lezica, Melilla;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BRB;Colón Sureste, Abayubá;Primario;11.0;0.0
