PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Basta Ya,Rivera,71,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,74,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,76,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,78,HBA,Departamental,69,2,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,82,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,86,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,89,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,93,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,94,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,97,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,100,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,103,HBA,Departamental,69,2,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,104,HBA,Departamental,69,1,Siñeriz - Los Pirineos - Magisterial
Basta Ya,Rivera,106,HBB,Departamental,69,1,Mandubí - La Pedrera
Basta Ya,Rivera,107,HBB,Departamental,69,1,Mandubí - La Pedrera
Basta Ya,Rivera,108,HBB,Departamental,69,1,Mandubí - La Pedrera
Basta Ya,Rivera,113,HBB,Departamental,69,1,Mandubí - La Pedrera
Basta Ya,Rivera,126,HBC,Departamental,69,1,Curticeras - Lagos del Norte
Basta Ya,Rivera,131,HBD,Departamental,69,1,Santa Teresa
Basta Ya,Rivera,133,HBD,Departamental,69,1,Santa Teresa
Basta Ya,Rivera,138,HBD,Departamental,69,1,Santa Teresa
Basta Ya,Rivera,139,HBD,Departamental,69,1,Santa Teresa
Basta Ya,Rivera,144,HBE,Departamental,69,1,Sonia - 33 Orientales
Basta Ya,Rivera,151,HBE,Departamental,69,2,Sonia - 33 Orientales
Basta Ya,Rivera,152,HBE,Departamental,69,1,Sonia - 33 Orientales
Basta Ya,Rivera,154,HBE,Departamental,69,1,Sonia - 33 Orientales
Basta Ya,Rivera,162,HBF,Departamental,69,1,Fuente Oriente - Cerro del Estado
Basta Ya,Rivera,165,HBF,Departamental,69,1,Fuente Oriente - Cerro del Estado
Basta Ya,Rivera,180,HCA,Departamental,69,3,Estación Ataques
Basta Ya,Rivera,186,HCC,Departamental,69,1,Tranqueras
Basta Ya,Rivera,208,HCG,Departamental,69,7,Masoller
Basta Ya,Rivera,235,HFB,Departamental,69,1,Moirones
Basta Ya,Rivera,236,HFB,Departamental,69,2,Moirones
Basta Ya,Rivera,244,HFG,Departamental,69,1,Vichadero
Basta Ya,Rivera,246,HFG,Departamental,69,1,Vichadero
Basta Ya,Rivera,9001,HZZ,Departamental,69,1,Unknown
Cabildo Abierto,Rivera,1,HAA,Departamental,88,2,Rivera - Centro
Cabildo Abierto,Rivera,1,HAA,Departamental,1801,1,Rivera - Centro
Cabildo Abierto,Rivera,1,HAA,Departamental,2424,1,Rivera - Centro
Cabildo Abierto,Rivera,2,HAA,Departamental,88,4,Rivera - Centro
Cabildo Abierto,Rivera,2,HAA,Departamental,1801,1,Rivera - Centro
Cabildo Abierto,Rivera,3,HAA,Departamental,88,1,Rivera - Centro
Cabildo Abierto,Rivera,3,HAA,Departamental,1801,5,Rivera - Centro
Cabildo Abierto,Rivera,3,HAA,Departamental,2424,2,Rivera - Centro
Cabildo Abierto,Rivera,4,HAA,Departamental,88,3,Rivera - Centro
Cabildo Abierto,Rivera,4,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,4,HAA,Departamental,2424,3,Rivera - Centro
Cabildo Abierto,Rivera,5,HAA,Departamental,88,1,Rivera - Centro
Cabildo Abierto,Rivera,5,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,5,HAA,Departamental,2424,1,Rivera - Centro
Cabildo Abierto,Rivera,6,HAA,Departamental,1801,4,Rivera - Centro
Cabildo Abierto,Rivera,6,HAA,Departamental,2424,4,Rivera - Centro
Cabildo Abierto,Rivera,7,HAA,Departamental,88,2,Rivera - Centro
Cabildo Abierto,Rivera,7,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,7,HAA,Departamental,2424,2,Rivera - Centro
Cabildo Abierto,Rivera,8,HAA,Departamental,88,4,Rivera - Centro
Cabildo Abierto,Rivera,8,HAA,Departamental,1801,4,Rivera - Centro
Cabildo Abierto,Rivera,8,HAA,Departamental,2424,4,Rivera - Centro
Cabildo Abierto,Rivera,9,HAA,Departamental,88,3,Rivera - Centro
Cabildo Abierto,Rivera,9,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,9,HAA,Departamental,2424,3,Rivera - Centro
Cabildo Abierto,Rivera,10,HAA,Departamental,88,4,Rivera - Centro
Cabildo Abierto,Rivera,10,HAA,Departamental,137,1,Rivera - Centro
Cabildo Abierto,Rivera,10,HAA,Departamental,1801,3,Rivera - Centro
Cabildo Abierto,Rivera,10,HAA,Departamental,2424,3,Rivera - Centro
Cabildo Abierto,Rivera,11,HAA,Departamental,88,1,Rivera - Centro
Cabildo Abierto,Rivera,11,HAA,Departamental,1801,8,Rivera - Centro
Cabildo Abierto,Rivera,11,HAA,Departamental,2424,2,Rivera - Centro
Cabildo Abierto,Rivera,12,HAA,Departamental,88,2,Rivera - Centro
Cabildo Abierto,Rivera,12,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,13,HAA,Departamental,88,5,Rivera - Centro
Cabildo Abierto,Rivera,13,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,13,HAA,Departamental,2424,2,Rivera - Centro
Cabildo Abierto,Rivera,14,HAA,Departamental,88,5,Rivera - Centro
Cabildo Abierto,Rivera,14,HAA,Departamental,1801,1,Rivera - Centro
