PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Basta Ya,Paysandú,41,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,42,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,43,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,45,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,46,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,47,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,48,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,50,KBA,Departamental,69,3,Paysandú Centro
Basta Ya,Paysandú,54,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,57,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,59,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,60,KBA,Departamental,69,1,Paysandú Centro
Basta Ya,Paysandú,62,KBA,Departamental,69,2,Paysandú Centro
Basta Ya,Paysandú,71,KBB,Departamental,69,1,Barrio Obrero
Basta Ya,Paysandú,72,KBC,Departamental,69,1,Zona Norte Este
Basta Ya,Paysandú,74,KCA,Departamental,69,2,Zona Industrial
Basta Ya,Paysandú,76,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,80,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,81,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,82,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,92,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,93,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,100,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,103,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,106,KCA,Departamental,69,2,Zona Industrial
Basta Ya,Paysandú,108,KCA,Departamental,69,1,Zona Industrial
Basta Ya,Paysandú,122,KCB,Departamental,69,2,Zona Suroeste - Parkway Sacra
